layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
C,R리노아,2f1107218a8e549f7b9ec5a53c488d33,5502,233,89.2,167.2,14907.4,1.62,2.7095,38.28,virtual_only,,358,246,289,285.6
C,이 소 에,343c202c69ba6d11b7ec51741f9591ac,3397,163,89.0,204.2,18168.4,2.62,5.3484,54.6,virtual_only,,441,247,241,283.4
C,이 아니,eef5c2238f1667a915855c644ac4f975,9001,231,88.7,212.3,18838.3,0.99,2.0929,38.4,virtual_only,,360,248,233,264.4
C,미도미도 마요,051f034c064edd60d48dee2a47bc0790,10203,328,88.7,210.9,18700.7,0.87,1.8329,27.04,virtual_only,,268,249,236,247.6
C,요루야,44424fa93fae1f5b03a0479cac94f39c,6029,381,88.5,428.4,37916.9,1.47,6.2891,23.23,virtual_only,,229,250,130,197.8
C,판자집강아지,37569f91da7035d9f33c2f73d23d7255,10967,175,87.4,215.6,18837.7,0.8,1.7177,49.94,virtual_only,,415,251,234,277.0
C,냐오 NYAO,79ef1f5274b48fcb2de41b8ac8ea7ca1,7131,265,86.5,180.0,15576.2,1.21,2.1843,32.64,virtual_only,,327,252,280,278.2
C,유키츠네,52f13f0fde6421312164730f1332a5f1,19633,453,85.6,248.7,21276.7,0.44,1.0837,18.9,virtual_only,,199,253,209,224.6
C,다 비,56af48b6a7e165c24873fa29671a8d45,12332,199,85.1,349.1,29714.4,0.69,2.4095,42.76,virtual_only,,374,254,165,242.4
C,마우쥐,b2854dc0735e55fa86c53bd15242d30f,12982,184,85.0,367.1,31214.9,0.65,2.4045,46.2,virtual_only,,395,255,162,245.8
C,자연2,962abb83cc2513309966365813fdd288,4571,452,84.6,197.6,16708.4,1.85,3.6553,18.72,virtual_only,,200,256,262,247.2
C,아무탈,0a07375b21a52bd69ff087fa5cc60f0d,15801,307,84.6,204.6,17299.8,0.54,1.0949,27.56,virtual_only,,296,257,251,262.4
C,서겜,546376ebd956528b9d6250da63512f29,2304,176,84.2,210.0,17685.0,3.65,7.6758,47.84,virtual_only,,411,258,245,283.4
C,미 랑,e9dbe302080c01d76fcd4aa6c8a05a64,3411,324,84.0,412.7,34658.9,2.46,10.1609,25.93,virtual_only,,272,259,144,215.6
C,쿠마루,e6df84b539791aba763f533f87ce3342,8729,381,83.9,224.3,18825.9,0.96,2.1567,22.02,virtual_only,,229,260,235,243.8
C,리미 VLUP,46d2e17ad675cb9c22546e11e9010ff2,5677,812,83.5,289.0,24141.5,1.47,4.2525,10.28,virtual_only,,130,261,193,207.6
C,이루네 IRUNE,e984779fd445e71bfd8c99106e432bf1,6529,145,82.7,234.8,19421.2,1.27,2.9746,57.03,virtual_only,,482,262,228,292.4
C,바니반희진,51d2b920e94da2731db5803d01b3c821,3175,268,82.4,207.2,17081.4,2.6,5.38,30.75,virtual_only,,320,263,253,270.4
C,디또띠,b28d617a1d981cfff65d163f116cab7d,2321,443,82.1,143.3,11767.2,3.54,5.0699,18.53,virtual_only,,202,265,341,282.8
C,사다새,9cc4bda5d0387d211f9b2123895db58b,1121,170,81.8,108.3,8857.8,7.3,7.9017,48.12,virtual_only,,429,266,443,369.4
C,HaruNuna,7fc38b0da9a6280356c4e01dcb965c07,8673,163,81.2,104.0,8449.1,0.94,0.9742,49.82,virtual_only,,441,267,460,379.0
C,해옥 HAEOK,e9591b517df39ffae2b9912cffa10e62,3810,198,81.2,396.5,32176.9,2.13,8.4454,41.01,virtual_only,,377,268,158,245.8
C,코무키,010379f20da3ec9249bfe0bbdcb05762,3952,267,81.1,294.8,23894.0,2.05,6.0461,30.37,virtual_only,,322,269,195,250.0
C,딸기 DDALGI,ddba126063cfa770d867aebfe37c318d,2593,367,81.0,234.0,18942.4,3.12,7.3052,22.07,virtual_only,,240,270,232,248.8
C,김꼬멍,d61f69f7ff143364ed19314837262ea2,4688,335,80.2,182.6,14643.4,1.71,3.1236,23.94,virtual_only,,263,272,294,279.0
C,밑줄밑줄,16fc49ff5ba7ec5d25a5a978cee3bdda,12054,257,80.0,211.2,16894.8,0.66,1.4016,31.13,virtual_only,,335,273,260,280.2
C,몽새,9bcfc5ce252bd85444a45ae8a80ae5e8,3517,340,79.7,147.7,11772.4,2.27,3.3473,23.44,virtual_only,,258,274,340,297.2
C,냐루비카페,3ef2872698aee4e944d808f27abca3a9,6845,159,79.6,270.5,21542.0,1.16,3.1471,50.06,virtual_only,,449,275,206,282.2
C,유논 YUNON,575b8dd00630a025c9ad3729df908abf,8092,309,78.7,103.1,8118.7,0.97,1.0033,25.47,virtual_only,,292,276,479,360.4
C,해득이,659dcc02fa42de17387db4c8d722f55c,2978,158,78.7,339.6,26739.9,2.64,8.9791,49.81,virtual_only,,452,277,179,272.8
C,기령,2fe88ab2b731edd48b7b11feaedbf294,11351,329,78.6,330.3,25965.6,0.69,2.2875,23.89,virtual_only,,266,278,182,237.2
C,이쿠롬,c60605305243b0234e4cd0d10a675b05,1733,454,78.2,166.1,12990.3,4.51,7.4958,17.22,true,,198,279,317,278.0
C,연 홍차,1bba9dea7f936bdcfe06962bcf0d686a,4464,287,77.8,272.2,21182.4,1.74,4.7452,27.11,virtual_only,,310,281,211,258.8
C,하나빈 HANAVIN,7ca6c5f45a9b16f75970f54c309623c0,7787,408,77.0,312.0,24029.9,0.99,3.0859,18.87,virtual_only,,218,282,194,234.0
C,레비얀 Leviyan,bbe12c4cd654528048568aca4e5e6166,4383,258,76.6,174.0,13335.6,1.75,3.0426,29.69,virtual_only,,333,283,313,305.0
C,비화 Bihwa,521b37e8cd74b933501d3d1ad4d5031c,3589,158,76.0,215.7,16401.2,2.12,4.5699,48.1,virtual_only,,452,284,266,310.4
C,모이 M0I,be059789e19ac3e46198e15911a80122,5033,249,75.7,193.5,14653.7,1.5,2.9115,30.4,virtual_only,,345,285,293,300.2
C,주누피,b0f277dafb98965cd97391cae0755efe,2585,185,75.5,203.8,15378.7,2.92,5.9492,40.81,virtual_only,,393,287,283,306.6
C,아오토 라떼,c077df8642ba944f714b5ec06cf195e4,7176,365,74.9,207.5,15544.4,1.04,2.1662,20.52,virtual_only,,242,289,282,276.8
