layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
C,기령,2fe88ab2b731edd48b7b11feaedbf294,11351,237.2,266,278,182,330.3,329,78.6,25965.6,0.69,2.2875,23.89
C,이쿠롬,c60605305243b0234e4cd0d10a675b05,1733,278.0,198,279,317,166.1,454,78.2,12990.3,4.51,7.4958,17.22
C,연 홍차,1bba9dea7f936bdcfe06962bcf0d686a,4464,258.8,310,281,211,272.2,287,77.8,21182.4,1.74,4.7452,27.11
C,하나빈 HANAVIN,7ca6c5f45a9b16f75970f54c309623c0,7787,234.0,218,282,194,312.0,408,77.0,24029.9,0.99,3.0859,18.87
C,레비얀 Leviyan,bbe12c4cd654528048568aca4e5e6166,4383,305.0,333,283,313,174.0,258,76.6,13335.6,1.75,3.0426,29.69
C,비화 Bihwa,521b37e8cd74b933501d3d1ad4d5031c,3589,310.4,452,284,266,215.7,158,76.0,16401.2,2.12,4.5699,48.1
C,모이 M0I,be059789e19ac3e46198e15911a80122,5033,300.2,345,285,293,193.5,249,75.7,14653.7,1.5,2.9115,30.4
C,주누피,b0f277dafb98965cd97391cae0755efe,2585,306.6,393,287,283,203.8,185,75.5,15378.7,2.92,5.9492,40.81
C,아오토 라떼,c077df8642ba944f714b5ec06cf195e4,7176,276.8,242,289,282,207.5,365,74.9,15544.4,1.04,2.1662,20.52
C,밈줌,05e32aae896c6067fb36157149053de2,1984,322.4,540,290,246,236.1,128,74.9,17678.9,3.78,8.9107,58.52
C,모코 파르페,d20f164fe5946abe0bce2e5a43052923,3948,338.8,298,291,407,136.2,305,74.0,10080.3,1.87,2.5533,24.26
C,괴양이,ef876c49d8386f76193f8f1db47eb4d7,15268,305.6,116,292,414,133.4,956,73.8,9846.2,0.48,0.6449,7.72
C,바뀐,416d86cee659cca1320eac67f0e6fc22,20813,282.2,347,293,239,250.8,245,73.7,18486.8,0.35,0.8882,30.08
C,엄히로,60761dc68dca3092c55c4371710ce848,4075,335.0,363,294,362,151.2,228,73.6,11133.8,1.81,2.7322,32.28
C,센 카르멘,baf2109352261c8dd091feae895f3a11,11256,331.8,381,296,343,159.2,196,73.4,11681.0,0.65,1.0378,37.45
C,옥 희,ee17c0d0dda365119d32768e645caf3e,8309,317.8,521,297,237,254.4,133,73.1,18585.7,0.88,2.2368,54.96
C,뮬 MYULEE,6b2e39072f3af6e84ee04d34aa164e57,8139,283.6,294,298,264,226.8,308,73.1,16568.6,0.9,2.0357,23.73
C,노랑새k,f11fe3d49f587cffed1fefdde44fe041,8258,285.6,276,299,277,217.0,322,72.2,15671.1,0.87,1.8977,22.42
C,이치카 히비,206afc6829e734e662ed0bf24dcbac0e,14015,306.6,285,300,324,173.3,315,72.0,12473.4,0.51,0.89,22.86
C,모푸,1686a04d1a643498d39f2fb50459c0ac,5179,325.4,511,301,257,236.3,137,71.9,16996.6,1.39,3.2818,52.48
C,고순해,19f9ece522b9155b4e577d7b9b46103a,2443,224.4,148,303,184,366.9,674,70.7,25955.3,2.89,10.6244,10.49
C,가도아,8088ba35af7d2a4776590fbcc1d5a462,1691,397.4,549,304,415,138.7,125,70.7,9810.6,4.18,5.8017,56.56
C,니야,a8b44e07ea2e2a583aab4804f92ae0ba,11546,311.4,307,305,320,182.2,292,70.7,12884.3,0.61,1.1159,24.21
C,끠월마녀,dcfd3c7cf3c05b41306a4cc249ad5c9f,13271,265.4,411,306,152,473.4,176,70.6,33408.3,0.53,2.5174,40.11
C,미 유,d58ace43901fd369f1b4efa4ed175103,7653,260.2,333,307,177,384.8,258,70.5,27137.9,0.92,3.546,27.33
C,이 신,8775b3047a658f3f637797c244ba4b34,10669,356.2,393,308,386,148.7,185,70.1,10423.0,0.66,0.9769,37.89
C,새 담,ca76c17a026bb41e6ff9e3fc5641de63,24587,296.2,457,309,203,320.6,156,69.8,22373.5,0.28,0.91,44.74
