name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
탄 얀다,naverchzzk,5891784ca4e2320cfa25668f1f247579,218,4.4,30,25,108,478,21-30,talk,67.0,음악/노래,8.9,두근두근 문예부!,5.1,11,false,talk_primary,,sample_1_peak_10_50
오후야,naverchzzk,4cd76d9219e872fb80681d13308025c6,219,8,18,14,108,289,16-20,종합 게임,34.9,용과 같이 0: 맹세의 장소,15.1,talk,14.0,14,true,gg_primary,,sample_1_peak_10_50
가미영,naverchzzk,1d19dc348fdf699e63885944b49ff60c,223,3.8,31,28,107,2394,31-40,talk,34.5,음악/노래,22.4,이터널 리턴,19.3,10,true,multi_game,,sample_1_peak_10_50
나 빵,naverchzzk,a1d5bb21b285ecfa61782324e841ac7a,224,16.8,10,6,107,268,10-15,talk,40.0,종합 게임,39.6,마비노기 모바일,20.4,3,true,multi_game,,sample_1_peak_10_50
유다히,naverchzzk,7083e83967817b39ca8e32ce8a91facc,225,4.1,31,26,106,769,31-40,talk,48.2,친구모아 아일랜드 두근두근 라이프,8.9,언더테일,7.5,15,false,single_game_or_non_game,,sample_1_peak_10_50
시노 레이,naverchzzk,e630c27b3c51307c1a064213a4a000bd,226,2.7,43,39,106,2585,41-50,종합 게임,36.3,talk,16.6,서브노티카 2,15.7,6,true,gg_primary,,sample_1_peak_10_50
얼우신,naverchzzk,6636ac6dcac9c0b1e93b8259b8aced8d,227,2.9,41,37,106,1584,41-50,talk,51.1,세키로: 섀도우 다이 트와이스,22.4,아이작의 번제: 리버스,5.9,11,false,talk_primary,,sample_1_peak_10_50
톱밥입니다,naverchzzk,63b679395f45ff83e2e139385b6634be,228,13.8,10,8,105,1172,10-15,종합 게임,64.5,007 퍼스트 라이트,18.3,고전 게임,8.8,5,true,gg_primary,,sample_1_peak_10_50
김앙대,naverchzzk,e04181c4169fad7d62d1b81d78ea11b6,229,2.8,41,37,105,2180,41-50,종합 게임,19.9,그림/아트,19.2,모리멘스,10.8,22,true,gg_primary,,sample_1_peak_10_50
박 나인,naverchzzk,a9e9faf32d32f089b07eb6213e9f4254,230,8.1,20,13,104,432,16-20,블랙 메사,30.3,종합 게임,20.9,하프라이프,18.7,5,true,multi_game,,sample_1_peak_10_50
생각솔루션TV,naverchzzk,d83dc32f09dcfc8e1513eef57a6e52b3,231,10.8,16,10,103,111,16-20,talk,36.8,PUBG: 배틀그라운드,32.7,종합 게임,11.8,11,false,single_game_or_non_game,,sample_1_peak_10_50
불녀,naverchzzk,b955e2a87eb767345d2edc921061c784,233,16.4,12,6,101,251,10-15,종합 게임,75.1,스타더스트: 별과 마녀,12.7,폴아웃 4,12.2,3,true,gg_primary,,sample_1_peak_10_50
링 컨,naverchzzk,1f70ac2d2e5d437b3bc5eedb262efa98,234,10.2,15,10,100,392,10-15,오버워치,67.7,종합 게임,27.8,talk,2.4,4,true,multi_game,,sample_1_peak_10_50
라벤더09,naverchzzk,5eed8165e379d9201ee3177f1a3b837d,235,14.1,13,7,99,358,10-15,철권 8,46.4,종합 게임,25.6,파이널 판타지 6,16.2,6,true,multi_game,,sample_1_peak_10_50
Nameless113,naverchzzk,e46cea323438412a97ed8d9311571ac6,237,4.5,28,22,98,579,21-30,talk,48.8,더 게임 오브 시시포스,13.5,융융 전파 신드롬,8.5,14,false,single_game_or_non_game,,sample_1_peak_10_50
권세이,naverchzzk,408db2e74f9a3d66c57fac2e7b37f77e,239,13.2,16,7,98,863,16-20,로스트아크,52.5,마인크래프트,18.5,PUBG: 배틀그라운드,10.7,9,true,multi_game,,sample_1_peak_10_50
하윤찡,naverchzzk,2eed456b26210e8ea67149dd5ce56398,241,7.1,18,14,96,436,16-20,talk,29.1,파이널판타지14,28.9,그림/아트,27.5,6,false,single_game_or_non_game,,sample_1_peak_10_50
마레 플로스,naverchzzk,f55fe79c18a40e8a9a735c5588f8ffe5,242,4.2,30,23,96,4703,21-30,talk,46.0,007 퍼스트 라이트,14.8,서브노티카 2,11.3,7,false,single_game_or_non_game,,sample_1_peak_10_50
이엘로 HIELO,naverchzzk,9819b8259cf05ff892393e5e4d11705a,244,12.3,14,8,95,588,10-15,라그나로크 온라인,93.4,종합 게임,4.6,더 드리프터,2.0,3,false,single_game_dominant,,sample_1_peak_10_50
솔티플럼,naverchzzk,60df4036c68428636e26ee01006e428c,245,11.5,13,8,95,457,10-15,PUBG: 배틀그라운드,20.8,종합 게임,17.5,talk,15.5,11,true,multi_game,,sample_1_peak_10_50
다크테일,naverchzzk,61acacd56ff16f2b5cd09aa8b9d5002d,247,5.3,23,18,94,2197,21-30,talk,50.3,리그 오브 레전드,10.3,007 퍼스트 라이트,7.3,14,false,talk_primary,,sample_1_peak_10_50
세상 1234,naverchzzk,4a62ee4e2d30ac11709453faf4583f1a,248,5,24,19,93,299,21-30,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
그로스2,naverchzzk,65d845f717e3c3abb93de6158c613f0d,251,3.9,28,24,92,1231,21-30,패스 오브 엑자일 2,40.9,디아블로 4: 증오의 군주,40.7,talk,16.2,4,true,multi_game,,sample_1_peak_10_50
l늘푸름l,naverchzzk,821bfedf4164f26931931fe00aa01ca4,252,11.9,12,8,92,176,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
비포장TV,naverchzzk,a2bed589acb5ae3d24f0afd3e989d17e,253,17.9,10,5,91,178,10-15,종합 게임,73.9,오버워치,23.4,2026 FIFA 북중미 월드컵,1.7,5,true,gg_primary,,sample_1_peak_10_50
방구석신선,naverchzzk,a888c2aa0a015dddef2ac7cbb283e71e,254,14.1,10,6,90,39,10-15,종합 게임,93.4,이스케이프 프롬 타르코프,4.0,서브노티카 2,1.7,4,true,gg_primary,,sample_1_peak_10_50
토코모,naverchzzk,b9da7500aeb83523a78df6ccf8ecea53,257,18.3,11,5,88,372,10-15,종합 게임,42.1,리그 오브 레전드,8.5,와룡: 폴른 다이너스티,7.5,15,true,gg_primary,,sample_1_peak_10_50
노빠꾸 철권소담TV,naverchzzk,47d609ac528898a1142f7ca1112fec65,258,13,11,7,87,705,10-15,종합 게임,66.0,talk,24.7,리그 오브 레전드,9.4,3,true,gg_primary,,sample_1_peak_10_50
까만안경님,naverchzzk,ceda73c5e3048554b32b46f65067f896,259,14,12,6,87,1907,10-15,철권 8,85.9,talk,6.3,종합 게임,5.3,4,false,single_game_dominant,,sample_1_peak_10_50
Kimzero 김제로,naverchzzk,96d273f37dd20e5ba803cac26bdcb404,261,7.5,16,12,86,100,16-20,할로우 나이트: 실크송,27.7,종합 게임,12.0,마인크래프트,11.2,15,false,single_game_or_non_game,,sample_1_peak_10_50
앙섹시큐티프리티,naverchzzk,556705a020d1a80a054cba7bde333f68,262,6,22,14,86,362,21-30,종합 게임,48.9,talk,27.2,메이플스토리,9.2,6,true,gg_primary,,sample_1_peak_10_50
롱이롱,naverchzzk,0ece1bc8c36833356e6529760ad88bdf,263,6.8,19,13,86,1178,16-20,이스케이프 프롬 타르코프,90.8,리그 오브 레전드,5.0,종합 게임,3.6,5,false,single_game_dominant,,sample_1_peak_10_50
설 몽,naverchzzk,4fa802e51ccdbfd071d3df494e329ee1,266,2.7,44,32,86,5731,41-50,talk,59.1,종합 게임,27.2,서브노티카 2,5.4,7,false,talk_primary,,sample_1_peak_10_50
쿠로나 네로,naverchzzk,e5e29bda5e2a4a997d40d15c220ff248,267,5.7,23,15,85,1274,21-30,로스트아크,62.1,클레르 옵스퀴르: 33 원정대,17.1,마인크래프트,8.9,11,true,multi_game,,sample_1_peak_10_50
채팅방장,naverchzzk,a3a9a476ea4dd0eef053d76403c59aa5,268,4.1,33,21,85,697,31-40,talk,26.5,음악/노래,21.8,종합 게임,12.7,15,false,single_game_or_non_game,,sample_1_peak_10_50
송스루,naverchzzk,81d27371db3ecb93e1087661dfe5ac87,269,12.8,13,7,85,155,10-15,talk,69.5,종합 게임,30.5,,,2,false,talk_primary,,sample_1_peak_10_50
